1	3661760	3661820	Xkr4_1	900	-	3661760	3661771
1	4350334	4350394	Rp1_2	900	-	4350334	4350345
1	4399331	4399391	Rp1_1	900	-	4399331	4399342
1	4483678	4483738	Sox17_2	900	-	4483678	4483689
1	4486452	4486512	Sox17_1	900	-	4486452	4486463
1	4775779	4775839	Mrpl15_1	900	-	4775779	4775790
1	4797926	4797986	Lypla1_1	900	+	4797975	4797986
1	4847822	4847882	Tcea1_1	900	+	4847871	4847882
1	4848354	4848414	Tcea1_2	900	+	4848403	4848414
1	5009460	5009520	Rgs20_2	900	-	5009460	5009471
1	5060369	5060429	Rgs20_1	900	-	5060369	5060380
1	5073160	5073220	Atp6v1h_1	900	+	5073209	5073220
1	5578501	5578561	Oprk1_1	900	+	5578550	5578561
1	5907481	5907541	Npbwr1_1	900	-	5907481	5907492
1	6204695	6204755	Rb1cc1_1	900	+	6204744	6204755
1	6477362	6477422	St18_1	900	+	6477411	6477422
1	6720174	6720234	St18_2	900	+	6720223	6720234
1	7079064	7079124	Pcmtd1_1	900	+	7079113	7079124
1	8460535	8460595	Sntg1_1	900	-	8460535	8460546
1	9535468	9535528	Rrs1_1	900	+	9535517	9535528
1	9538111	9538171	Adhfe1_1	900	+	9538160	9538171
1	9591530	9591590	3110035E14Rik_1	900	+	9591579	9591590
1	9690391	9690451	Mybl1_1	900	-	9690391	9690402
1	9738465	9738525	Vcpip1_1	900	-	9738465	9738476
1	9788217	9788277	Sgk3_1	900	+	9788266	9788277
1	9838352	9838412	Sgk3_2	900	+	9838401	9838412
1	9838475	9838535	Sgk3_3	900	+	9838524	9838535
1	9898695	9898755	6030422M02Rik_1	900	+	9898744	9898755
1	9999176	9999236	Lrrc67_1	900	-	9999176	9999187
1	10028015	10028075	Cops5_1	900	-	10028015	10028026
1	10028248	10028308	Cspp1_1	900	+	10028297	10028308
1	10206633	10206693	Arfgef1_2	900	-	10206633	10206644
1	10222623	10222683	Arfgef1_1	900	-	10222623	10222634
1	10709975	10710035	Cpa6_1	900	-	10709975	10709986
1	10983493	10983553	Prex2_1	900	+	10983542	10983553
1	11253992	11254052	Prex2_2	900	+	11254041	11254052
1	11404225	11404285	A830018L16Rik_1	900	+	11404274	11404285
1	12682547	12682607	Sulf1_1	900	+	12682596	12682607
1	12708535	12708595	Sulf1_2	900	+	12708584	12708595
1	12981215	12981275	Slco5a1_1	900	-	12981215	12981226
1	13117048	13117108	Prdm14_1	900	-	13117048	13117059
1	13362512	13362572	Ncoa2_2	900	-	13362512	13362523
1	13364114	13364174	Ncoa2_1	900	-	13364114	13364125
1	13579892	13579952	Tram1_1	900	-	13579892	13579903
1	13650590	13650650	Lactb2_1	900	-	13650590	13650601
1	13658790	13658850	Xkr9_1	900	+	13658839	13658850
1	14294702	14294762	Eya1_2	900	-	14294702	14294713
1	14300119	14300179	Eya1_1	900	-	14300119	14300130
1	14746062	14746122	Msc_1	900	-	14746062	14746073
1	14909071	14909131	Trpa1_1	900	-	14909071	14909082
1	15302587	15302647	Kcnb2_1	900	+	15302636	15302647
1	15795677	15795737	Terf1_1	900	+	15795726	15795737
1	15882772	15882832	Gm106_1	900	-	15882772	15882783
1	16094472	16094532	Rpl7_1	900	-	16094472	16094483
1	16095895	16095955	Rdh10_1	900	+	16095944	16095955
1	16509368	16509428	Stau2_1	900	-	16509368	16509379
1	16609359	16609419	Ube2w_1	900	-	16609359	16609370
1	16647112	16647172	Tceb1_1	900	-	16647112	16647123
1	16655280	16655340	Tmem70_1	900	+	16655329	16655340
1	16678464	16678524	Ly96_1	900	+	16678513	16678524
1	17087917	17087977	Jph1_1	900	-	17087917	17087928
1	17135421	17135481	Gdap1_1	900	+	17135470	17135481
1	17591932	17591992	Pi15_1	900	+	17591981	17591992
1	17717083	17717143	Crispld1_1	900	+	17717132	17717143
1	17717448	17717508	Crispld1_2	900	+	17717497	17717508
1	18135972	18136032	Crisp4_1	900	-	18135972	18135983
1	18227546	18227606	Defb18_1	900	-	18227546	18227557
1	18255208	18255268	Defb41_1	900	-	18255208	18255219
1	19093067	19093127	Tcfap2d_1	900	+	19093116	19093127
1	19199178	19199238	Tcfap2b_1	900	+	19199227	19199238
